keyfiat_mabaar,FREQUENCY,SUM_Shape_Length
25,1,101.009156521773491
30,2,107.894360116850038
34,1,41.561645608144083
35,4,293.063735168250503
37,1,62.652660120653309
38,5,480.148067231286461
39,2,252.801021066415785
40,3,235.573970082991252
42,2,230.978163858448227
43,2,155.789455490268324
45,3,290.384985826679724
46,4,549.322792661548647
47,1,524.285933751749440
48,3,507.562571026481237
49,3,1064.887710671243440
50,3,776.057407693702999
